"source_batch","status","review_id","files","local_files","visible_product","target_sku","candidate_product","confidence","product_url","reason","next_action"
"folder12-batch002","review_high_existing_sku","folder12-015","PETE6799.JPG; PETE6800.JPG","/tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6799.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6800.JPG","Lobo Tom Yum Paste 30g","ADG-000058","Pasta Tom Yum 30g Lobo","high","https://asiandeligo.eshoper.pro/products/pasta-tom-yum-30g-lobo","Exact visible brand, product and 30g size match existing SKU ADG-000058.","Attach the cleanest owner photo to the existing SKU if approved."
"folder12-batch002","create_new_confirm","folder12-016","PETE6801.JPG; PETE6802.JPG; PETE6803.JPG","/tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6801.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6802.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6803.JPG","Asian Home Gourmet Spice Paste for Singapore Laksa 60g","","","create_new","","No exact Asian Home Gourmet Singapore Laksa paste 60g row found in the catalog export. Existing laksa rows are Prima Taste instant noodle products.","Create new SKU after confirming EAN and price."
"folder12-batch002","create_new_confirm","folder12-017","PETE6804.JPG; PETE6805.JPG; PETE6806.JPG","/tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6804.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6805.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6806.JPG","Hải Châu Bột Canh / Vietnamese soup seasoning powder 190g","","","create_new","","No exact Hải Châu Bột Canh 190g seasoning row found in the catalog export.","Create new SKU after confirming EAN and price."
"folder12-batch002","create_new_confirm","folder12-018","PETE6807.JPG; PETE6808.JPG; PETE6809.JPG; PETE6810.JPG; PETE6811.JPG","/tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6807.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6808.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6809.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6810.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6811.JPG","Talad Thai Tamarind Paste / seedless tamarind 454g","","","create_new","","Existing tamarind rows are Suree, Thai Dancer, Cock Brand or Por Kwan; no exact Talad Thai 454g match found.","Create new SKU after confirming EAN and price."
"folder12-batch002","create_new_confirm","folder12-019","PETE6812.JPG; PETE6813.JPG; PETE6814.JPG","/tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6812.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6813.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6814.JPG","Vifon Phở Bò instant rice noodle bowl","","","create_new","","No Vifon Phở Bò bowl row found. Existing pho bo rows are MAMA soup or Ong ChaVa bouillon cubes, not this product.","Create new SKU after confirming exact weight, EAN and price."
"folder12-batch002","create_new_confirm","folder12-020","PETE6815.JPG; PETE6816.JPG; PETE6817.JPG","/tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6815.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6816.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE6817.JPG","Vifon Phở Gà instant rice noodle bowl","","","create_new","","No Vifon Phở Gà bowl row found. Existing pho ga rows are MAMA soup or Ong ChaVa bouillon cubes, not this product.","Create new SKU after confirming exact weight, EAN and price."
"folder12-batch002","review_high_existing_sku","folder12-021","PETE7061.JPG; PETE7062.JPG","/tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE7061.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE7062.JPG","S&B Wasabi Paste in Tube 43g","ADG-000009","Pasta wasabi w tubce 43g S&B","high","https://asiandeligo.eshoper.pro/products/pasta-wasabi-w-tubce-43g-s-and-b","Exact visible brand, product and 43g size match existing SKU ADG-000009.","Attach the cleanest owner photo to the existing SKU if approved."
"folder12-batch002","create_new_confirm","folder12-022","PETE7205.JPG","/tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE7205.JPG","Amoy / Ajinomoto Chicken Powder 1kg","","","create_new","","No exact Amoy/Ajinomoto Chicken Powder 1kg row found. Existing chicken powder row is Ajinomoto 250g, which differs by size/product.","Create new SKU after confirming EAN and price."
"folder12-batch002","create_new_confirm","folder12-023","PETE7236.JPG; PETE7237.JPG","/tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE7236.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE7237.JPG","Totole Granulated Chicken Flavour Bouillon Mix 1kg","","","create_new","","No exact Totole granulated chicken flavour bouillon mix 1kg row found in the catalog export.","Create new SKU after confirming EAN and price."
"folder12-batch002","hold_confirm","folder12-024","PETE7240.JPG; PETE7241.JPG; PETE7265.JPG; PETE7266.JPG; PETE7267.JPG; PETE7268.JPG","/tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE7240.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE7241.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE7265.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE7266.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE7267.JPG; /tmp/asiandeligo-owner-images/folder12-batch002/extracted/PETE7268.JPG","Eaglobe Sichuan Peppercorns 500g","","","hold","","Product is identifiable, but the back label shows best-before 31.12.2018, so these images are risky for storefront import.","Confirm whether current stock exists and retake/use a clean current-date image before creating SKU."
