review_id,status,files,visible_product,target_sku,candidate_product,confidence,reason,next_action
folder03-020,create_new_confirm,"PETE7382.JPG; PETE7383.JPG","VIMIXA Quick Cooking Noodles",,,create_new,"No exact VIMIXA quick-cooking noodles row found in production catalog; visible weight needs confirmation from side/back label.","Create after owner confirms final PL/EN name, weight, EAN, ingredients/allergens and category."
folder03-021,create_new_confirm,"PETE7384.JPG; PETE7385.JPG","Golden Lotus Chinese Style Thick Quick Cooking Noodles, likely 375g",,,create_new,"Same visible product family as folder03-012; no exact Golden Lotus quick-cooking noodles row found in production catalog.","Merge with folder03-012 if owner confirms same SKU, then create missing product."
folder03-022,create_new_confirm,"PETE7386.JPG; PETE7387.JPG","Green Pagoda Quick Cooking Noodles, 500g",,,create_new,"Catalog has Green Pagoda mushroom products only, not this noodles product.","Create after owner confirms final name, EAN, ingredients/allergens and category."
folder03-023,create_new_confirm,"PETE7614.JPG","Hiep Long Bun Ha Noi LaMi Size S rice vermicelli, 500g",,,create_new,"Catalog has Hiep Long LaMi Size M rows/candidate, but no exact Size S 500g row found.","Create after owner confirms size/name and whether this should be grouped with other LaMi variants."
folder03-024,create_new_confirm,"PETE7615.JPG; PETE7616.JPG","Tufoco Bamboo Tree Vietnamese Rice Noodle Size M, 400g",,,create_new,"No exact Tufoco/Bamboo Tree Size M 400g rice noodle row found in production catalog.","Create after owner confirms final display name, EAN and category."
folder03-025,create_new_confirm,"PETE7617.JPG","Tufoco Bamboo Tree Fresh Rice Vermicelli, 400g",,,create_new,"No exact Tufoco/Bamboo Tree fresh rice vermicelli 400g row found in production catalog.","Create after owner confirms final display name, EAN and category."
folder03-026,create_new_confirm,"PETE7619.JPG","Hiep Long Bun Ha Noi LaMi Size L rice vermicelli, 500g",,,create_new,"Catalog has Hiep Long LaMi Size M rows/candidate, but no exact Size L 500g row found.","Create after owner confirms size/name and whether this should be grouped with other LaMi variants."
folder03-027,create_new_confirm,"PETE7626.JPG","Tufoco Bamboo Tree Vietnamese Rice Noodle Size L, 400g",,,create_new,"No exact Tufoco/Bamboo Tree Size L 400g rice noodle row found in production catalog.","Create after owner confirms final display name, EAN and category."
folder03-028,create_new_confirm,"PETE7627.JPG","Tufoco Bamboo Tree Vietnamese Rice Noodle Size XL, 400g",,,create_new,"No exact Tufoco/Bamboo Tree Size XL 400g rice noodle row found in production catalog.","Create after owner confirms final display name, EAN and category."
folder03-029,create_new_confirm,"PETE7629.JPG","Tufoco Bamboo Tree Fine Rice Vermicelli, 340g",,,create_new,"No exact Tufoco/Bamboo Tree fine rice vermicelli 340g row found in production catalog.","Create after owner confirms final display name, EAN and category."
folder03-030,review_possible_existing_sku,"PETE7630.JPG","Hiep Long Bun Ha Noi LaMi Size M rice vermicelli, 500g",ADG-000013,"Makaron ryzowy LaMi M do Pho 500g Hiep Long",medium,"Brand, LaMi Size M and 500g match candidate SKU, but front label says Bun Ha Noi while catalog/product image candidate uses Pho Ha Noi/do Pho wording.","Owner/user should confirm whether Bun Ha Noi Size M and Pho Ha Noi Size M are the same sale SKU before any image import."
folder03-031,create_new_confirm,"PETE7653.JPG; PETE7654.JPG; PETE7655.JPG","Oriental Food Chantaboon Rice Stick 5mm, 400g",,,create_new,"Catalog has rice noodles from Farmer/Asia Kitchen and other sizes, but no exact Oriental Food 5mm 400g row found.","Create after owner confirms final brand/name, EAN and category."
folder03-032,create_new_confirm,"PETE7675.JPG","Asiafoods makaron sojowy / soy vermicelli, 1kg",,,create_new,"Catalog has LongKou 1kg vermicelli, but visible brand/import label is Asiafoods, so this is not a safe match.","Create after owner confirms brand, EAN and whether product is mung bean/soy vermicelli."
folder03-033,create_new_confirm,"PETE7679.JPG","Eagle brand Oriental Style Starch Noodle, 500g",,,create_new,"No exact Eagle/oriental style starch noodle 500g row found in production catalog.","Create after owner confirms final PL/EN name, EAN and allergens."
folder03-034,create_new_confirm,"PETE7796.JPG; PETE7797.JPG","Oriental Food Chantaboon Rice Stick 3mm, 400g",,,create_new,"Catalog has rice noodles from Farmer/Asia Kitchen and other sizes, but no exact Oriental Food 3mm 400g row found.","Create after owner confirms final brand/name, EAN and category."
folder03-035,create_new_confirm,"PETE7855.JPG; PETE7856.JPG","Golden Chef Chantaboon Rice Stick 10mm XL, 375g",,,create_new,"Same visible product family as folder03-007; no exact Golden Chef 10mm XL 375g row found in production catalog.","Merge with folder03-007 if owner confirms same SKU, then create missing product."
folder03-036,review_high_existing_sku,"PETE7885.JPG; PETE7886.JPG; PETE7887.JPG; PETE7888.JPG","Sempio Sweet Potato Noodles, 450g",ADG-000224,"Makaron ze slodkich ziemniakow i tapioki 450g - Sempio",high,"Visible brand/product/weight match catalog row.","Candidate for existing SKU image review; do not apply until owner/user accepts."
folder03-037,create_new_confirm,"PETE8841.JPG; PETE8842.JPG; PETE8843.JPG","Chunsi Lanzhou Ramen Noodles, 2kg",,,create_new,"Catalog has Chunsi soba/udon/somen 300g rows, but no exact Lanzhou Ramen 2kg row found.","Create after owner confirms final PL/EN name, EAN, ingredients/allergens and category."
