source_batch,status,review_id,files,local_files,visible_product,target_sku,candidate_product,confidence,product_url,reason,next_action
folder09-batch001,needs_owner_confirmation_age_restricted,folder09-001,"PETE6690.JPG; PETE6691.JPG; PETE6692.JPG; PETE6693.JPG; PETE6694.JPG; PETE6695.JPG; PETE6696.JPG","/tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6690.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6691.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6692.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6693.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6694.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6695.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6696.JPG","Choya Original Japanese Ume Fruit Wine 3L, 10% vol",,,age_restricted,,"This is an alcoholic product. No Choya row found in the catalog export, but it should not be auto-created until owner confirms alcohol/legal handling.","Confirm whether alcohol products are in scope, then create only with legal/category policy and EAN/price."
folder09-batch001,create_new_confirm,folder09-002,PETE6697.JPG,/tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6697.JPG,"Golden Lotus Chilli Sauce for Chicken",,,create_new,,"Catalog has several Flying Goose/Huy Fong Sriracha rows, but this owner image is Golden Lotus Chilli Sauce for Chicken.","Create new SKU after confirming volume/EAN and price."
folder09-batch001,needs_owner_confirmation_age_restricted,folder09-003,"PETE6708.JPG; PETE6709.JPG; PETE6710.JPG","/tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6708.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6709.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6710.JPG","Choya Original Japanese Ume Fruit Wine bottle",,,age_restricted,,"This is an alcoholic product. No Choya row found in the catalog export, and volume is not fully visible in the reviewed front image.","Confirm whether alcohol products are in scope, then create only with exact volume/EAN, legal/category policy, and price."
folder09-batch001,needs_owner_confirmation_age_restricted,folder09-004,"PETE6711.JPG; PETE6712.JPG; PETE6713.JPG","/tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6711.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6712.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6713.JPG","Tsingtao Beer 330ml",,,age_restricted,,"This is an alcoholic beer product. No Tsingtao row found in the catalog export, but it should not be auto-created until owner confirms alcohol/legal handling.","Confirm whether alcohol products are in scope, then create only with legal/category policy and EAN/price."
folder09-batch001,create_new_confirm,folder09-005,"PETE6854.JPG; PETE6855.JPG; PETE6856.JPG","/tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6854.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6855.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6856.JPG","Kim Anh Lotus Scented Tea sachet multipack",,,create_new,,"No exact Kim Anh Lotus Scented Tea sachet multipack row found in the catalog export.","Create new SKU after confirming total pack size, EAN, and price."
folder09-batch001,create_new_confirm,folder09-006,"PETE6857.JPG; PETE6858.JPG; PETE6859.JPG","/tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6857.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6858.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6859.JPG","Kim Anh Jasmine Scented Tea 20g sachet multipack",,,create_new,,"No exact Kim Anh Jasmine Scented Tea 20g multipack row found in the catalog export.","Create new SKU after confirming total pack size, EAN, and price."
folder09-batch001,create_new_confirm,folder09-007,"PETE6863.JPG; PETE6864.JPG; PETE6865.JPG; PETE6866.JPG","/tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6863.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6864.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6865.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6866.JPG","Hiep Long Tra Sach Thai Nguyen green tea 200g",,,create_new,,"No exact Hiep Long Thai Nguyen green tea 200g row found in the catalog export.","Create new SKU after confirming EAN and price."
folder09-batch001,create_new_confirm,folder09-008,"PETE6871.JPG; PETE6872.JPG; PETE6873.JPG","/tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6871.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6872.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6873.JPG","Phuong Vi Tea 100g",,,create_new,,"No exact Phuong Vi Tea 100g row found in the catalog export.","Create new SKU after confirming exact tea type, EAN, and price."
folder09-batch001,create_new_confirm,folder09-009,"PETE6878.JPG; PETE6879.JPG","/tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6878.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6879.JPG","Sempio Brown Rice Green Tea 75g, 50 bags",,,create_new,,"Catalog has Sempio Brown Rice Green Tea 20 x 1.5g (30g) and Ottogi 50-bag tea, but this owner image is Sempio 75g (1.5g x 50 bags).","Create new SKU after confirming EAN and price; do not merge into the 20-bag Sempio SKU."
folder09-batch001,create_new_confirm,folder09-010,"PETE6881.JPG; PETE6882.JPG","/tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6881.JPG; /tmp/asiandeligo-owner-images/folder09-batch001/extracted/PETE6882.JPG","Sempio Solomon's Seal Tea 60g, 50 bags",,,create_new,,"Catalog has Sempio Solomon's Seal Tea 20 x 1.2g (24g), but this owner image is Sempio 60g (1.2g x 50 bags).","Create new SKU after confirming EAN and price; do not merge into the 20-bag Sempio SKU."
