id,source_batch,status,files,visible_product,target_sku,candidate_product,confidence,product_url,decision,owner_notes,reason,next_action
"folder14-001","folder14-batch001","create_new_confirm","PETE7343.JPG; PETE7344.JPG; PETE7660.JPG; PETE7661.JPG; PETE7662.JPG; PETE7663.JPG; PETE7878.JPG","Asia Foods red-sleeve disposable bamboo chopsticks / Paleczki Bambusowe Jednorazowego Uzytku","","","create_new","","create_new","lấy ảnh 1,3,4,5","Catalog has several chopstick rows, but this visible red-sleeve Asia Foods package does not safely match an exact existing SKU because count and length are not confirmed.","Create new SKU only after owner confirms pack count, length, EAN and price; compare against existing chopstick rows as duplicate guards."
"folder14-002","folder14-batch001","create_new_confirm","PETE7879.JPG; PETE7880.JPG","Green-white sleeve disposable chopsticks, exact brand/count unclear","","","create_new","","create_new","","No safe exact match because front label, pack count and length are not readable enough from these photos.","Create new SKU only if owner confirms this is a sellable product, with exact brand, count, length, EAN and price."
"folder14-003","folder14-batch001","ignore_or_supplies","PETE7759.JPG; PETE7760.JPG; PETE7761.JPG; PETE7762.JPG; PETE7763.JPG","Huhtamaki Econo XPS oval plates 26.2 x 19.3cm, 50 pcs","","","skip","","create_new","lấy ảnh 1 2","This looks like packaging/foodservice supply rather than Asia Deli Go grocery storefront stock.","Skip unless owner confirms the shop sells packaging supplies online; if sold, create as a non-food supplies SKU with EAN and price."
"folder14-004","folder14-batch001","ignore_or_supplies","PETE8027.JPG; PETE8028.JPG; PETE8030.JPG; PETE8031.JPG","White foam takeaway clamshell food boxes, multiple compartments","","","skip","","create_new","lấy ảnh 2 3 4","This looks like store/foodservice packaging supply and photos do not show a branded sellable package or exact size/count.","Skip unless owner confirms these boxes are sold online; if sold, retake packaging label and create a supplies SKU."
"folder14-005","folder14-batch001","hold_confirm","PETE8032.JPG; PETE8033.JPG; PETE8034.JPG; PETE8036.JPG","Metal wok spatula / Chinese cooking turner with wooden handle","","","hold","","create_new","ảnh 1","Kitchenware item may be sellable, but exact size, brand and price are not visible.","Owner should confirm if this is sold online and provide size, EAN/brand and price before creating SKU."
"folder14-006","folder14-batch001","hold_confirm","PETE8037.JPG; PETE8038.JPG","Ceramic lidded bowl with warmer/stand, IPS Ceramic","","","hold","","create_new","","Kitchenware item may be sellable, but exact size and product name are not visible.","Owner should confirm product name, size, EAN/brand and price before creating SKU."
"folder14-007","folder14-batch001","hold_confirm","PETE8040.JPG; PETE8041.JPG","Bamboo-handle wire spider strainer / skimmer","","","hold","","create_new","ảnh 1 ","Kitchenware item may be sellable, but exact diameter, brand and price are not visible.","Owner should confirm if this is sold online and provide size, EAN/brand and price before creating SKU."
"folder14-008","folder14-batch001","hold_confirm","PETE8045.JPG; PETE8073.JPG; PETE8077.JPG; PETE8078.JPG; PETE8079.JPG","Carbon steel wok with single wooden handle, size unclear","","","hold","","create_new","ảnh 1","Kitchenware item may be sellable, but exact diameter/size is not visible and some photos include hands/background clutter.","Owner should confirm size, price and whether to sell online; use a clean crop/retake before publishing."
"folder14-009","folder14-batch001","hold_confirm","PETE8049.JPG; PETE8074.JPG; PETE8076.JPG","Carbon steel wok with two side handles, size unclear","","","hold","","create_new","ảnh 1 2","Kitchenware item may be sellable, but exact diameter/size is not visible.","Owner should confirm size, price and whether to sell online before creating SKU."
"folder14-010","folder14-batch001","hold_confirm","PETE8050.JPG","Stainless perforated colander / steamer insert bowl","","","hold","","create_new","","Kitchenware item may be sellable, but exact size, brand and product purpose are not visible.","Owner should confirm product name, size, EAN/brand and price before creating SKU."
"folder14-011","folder14-batch001","hold_confirm","PETE8053.JPG; PETE8055.JPG; PETE8089.JPG","Wooden-handle Chinese cleaver / kitchen knife, exact model unclear","","","hold","","create_new","","Kitchenware item may be sellable, but exact model/size and whether all photos are the same SKU are not fully clear.","Owner should confirm model, blade size, EAN/brand and price; split into separate SKUs if these are different knives."
"folder14-012","folder14-batch001","hold_confirm","PETE8063.JPG; PETE8082.JPG","Stainless-handle Chinese cleaver, exact model unclear","","","hold","","create_new","","Kitchenware item may be sellable, but exact model/size is not visible.","Owner should confirm model, blade size, EAN/brand and price before creating SKU."
"folder14-013","folder14-batch001","hold_confirm","PETE8057.JPG","Round ceramic steaming rack / trivet, size unclear","","","hold","","create_new","","Kitchenware item may be sellable, but exact diameter/brand and use are not visible.","Owner should confirm product name, size and price before creating SKU."
"folder14-014","folder14-batch001","hold_confirm","PETE8067.JPG; PETE8068.JPG; PETE8069.JPG; PETE8071.JPG; PETE8084.JPG; PETE8087.JPG","Assorted metal soup ladles, multiple handle styles/sizes","","","hold","","create_new","","These appear to be multiple kitchenware variants, but exact sizes/models are not clear enough to create safely.","Owner should split by actual SKU, confirm size/model and price, then retake clean individual photos for each sellable ladle."
"folder14-015","folder14-batch001","hold_confirm","PETE8092.JPG; PETE8097.JPG","Wooden-handle Asian chef knife / santoku-style knife, exact model unclear","","","hold","","create_new","","Kitchenware item may be sellable, but exact model/size is not visible.","Owner should confirm model, blade size, EAN/brand and price before creating SKU."
"folder14-016","folder14-batch001","hold_confirm","PETE8094.JPG","Black-handle kitchen knife / cleaver, exact model unclear","","","hold","","create_new","","Kitchenware item may be sellable, but exact model/size is not visible.","Owner should confirm model, blade size, EAN/brand and price before creating SKU."
